IDATprefix,Sample.ID
12058_02@1008489247,4281452546_R02C02
12058_03@1008494929,4281840065_R01C01
12058_01@1008494905,4281452546_R01C02
12059_02@1008494956,4281840065_R02C02
12059_03@1008494882,4281840055_R01C01
12059_01@1008494932,4281840065_R02C01
12060_02@1008494906,4281840055_R01C02
12060_03@1008494907,4281840055_R02C02
12060_01@1008494883,4281840055_R02C01
12061_02@0067868239,4439521417_R02C01
12061_03@0067868238,4439521417_R01C02
12061_01@0067868262,4439521417_R01C01
12062_02@0067868214,4439521416_R01C01
12062_03@0067868191,4439521416_R02C01
12062_01@0067868215,4439521417_R02C02
12063_02@0067868167,4439521416_R02C02
12063_03@0067868261,4439521266_R01C01
12063_01@0067868190,4439521416_R01C02
12064_02@0067868237,4439521266_R01C02
12064_03@0067868216,4439521266_R02C02
12064_01@0067868240,4439521266_R02C01
12065_02@0067868189,4434578778_R01C02
12065_03@0067868168,4434578778_R02C02
12065_01@0067868192,4506252015_R02C01
12066_02@0067868241,4439521350_R02C01
12066_03@0067868236,4439521350_R01C02
12066_01@0067868260,4439521350_R01C01
12068_02@0067868169,4439521170_R02C02
12068_03@0067868259,4439521405_R01C01
12068_01@0067868188,4439521170_R01C02
12069_02@0067868235,4439521405_R01C02
12069_03@0067868218,4439521405_R02C02
12069_01@0067868242,4439521405_R02C01
12071_02@0067868258,4439521225_R01C01
12071_03@0067868243,4439521225_R02C01
12071_01@0067868170,4439521351_R02C02
12072_02@0067868219,4439521225_R02C02
12072_03@0067868210,4434578824_R01C01
12072_01@0067868234,4439521225_R01C02
12073_02@0067868171,4434578824_R02C02
12073_03@0067868257,4439521244_R01C01
12073_01@0067868186,4434578824_R01C02
12074_02@0067868233,4439521244_R01C02
12074_03@0067868220,4439521244_R02C02
12074_01@0067868244,4439521244_R02C01
12075_02@0067868196,4439521260_R02C01
12075_03@0067868185,4439521260_R01C02
12075_01@0067868209,4439521260_R01C01
12076_02@0067868256,4439521365_R01C01
12076_03@0067868245,4439521365_R02C01
12076_01@0067868172,4439521260_R02C02
12077_02@0067868221,4439521365_R02C02
12077_03@0067868208,4439521217_R01C01
12077_01@0067868232,4439521365_R01C02
12078_02@0067868184,4439521217_R01C02
12078_03@0067868173,4439521217_R02C02
12078_01@0067868197,4439521217_R02C01
12079_02@0067868246,4434578460_R02C01
12079_03@0067868231,4434578460_R01C02
12079_01@0067868255,4434578460_R01C01
12080_02@0067868207,4439521261_R01C01
12080_03@0067868198,4439521261_R02C01
12080_01@0067868222,4434578460_R02C02
12081_02@0067866516,4439521027_R01C01
12081_03@0067868247,4439521027_R02C01
12081_01@0067868174,4439521261_R02C02
12082_02@0067868223,4439521027_R02C02
12082_03@0067868206,4439521246_R01C01
12082_01@0067868230,4439521027_R01C02
12087_02@0067868228,4439521317_R01C02
12087_03@0067868225,4439521317_R02C02
12087_01@0067868249,4439521317_R02C01
12089_02@0067868250,4439521175_R02C01
12089_03@0067868227,4439521175_R01C02
12089_01@0067868251,4439521175_R01C01
12090_02@0067868203,4439521335_R01C01
12090_03@0067868202,4439521335_R02C01
12090_01@0067868226,4439521175_R02C02
12091_02@0067866319,4281452644_R02C01
12091_03@0067866318,4281452644_R01C02
12091_01@0067866342,4281452644_R01C01
12092_02@0067866294,4281452810_R01C01
12092_03@0067866271,4281452810_R02C01
12092_01@0067866295,4281452644_R02C02
12093_02@0067866247,4281452810_R02C02
12093_03@0067863704,4281452642_R01C01
12093_01@0067866270,4281452810_R01C02
12094_02@0067866317,4281452642_R01C02
12094_03@0067866293,4281452747_R01C01
12094_01@0067866320,4281452642_R02C01
12095_02@0067866269,4281452747_R01C02
12095_03@0067866248,4281452747_R02C02
12095_01@0067866272,4281452747_R02C01
12098_02@0067866273,4281452690_R02C01
12098_03@0067866268,4281452690_R01C02
12098_01@0067866292,4281452690_R01C01
12099_02@0067866339,4281452867_R01C01
12099_03@0067866322,4281452867_R02C01
12099_01@0067866249,4281452690_R02C02
12100_02@0067866298,4281452867_R02C02
12100_03@0067866291,4281452834_R01C01
12100_01@0067866315,4281452867_R01C02
12101_02@0067866267,4281452834_R01C02
12101_03@0067866250,4281452834_R02C02
12101_01@0067866274,4281452834_R02C01
12102_02@0067866323,4281452643_R02C01
12102_03@0067866314,4281452643_R01C02
12102_01@0067866338,4281452643_R01C01
12103_02@0067866275,4281452272_R02C01
12103_03@0067866266,4494491049_R01C02
12103_01@0067866299,4281452643_R02C02
12104_02@0067866337,4281452894_R01C01
12104_03@0067863724,4281452894_R02C01
12104_01@0067866251,4306955427_R01C01
12106_02@0067866265,4281452811_R01C02
12106_03@0067866252,4281452811_R02C02
12106_01@0067866276,4281452811_R02C01
12107_02@0067866325,4281452816_R02C01
12107_03@0067866312,4281452816_R01C02
12107_01@0067866336,4281452816_R01C01
12108_02@0067866288,4281452638_R01C01
12108_03@0067866277,4281452638_R02C01
12108_01@0067866301,4281452816_R02C02
12109_02@0067866253,4432273725_R02C02
12109_03@0067866335,4432265150_R01C01
12109_01@0067866264,4432265415_R02C02
12110_02@0067866311,4281452505_R01C02
12110_03@0067866302,4281452505_R02C02
12110_01@0067866326,4281452505_R02C01
12111_02@0067866263,4281452887_R01C02
12111_03@0067866254,4281452887_R02C02
12111_01@0067866287,4281452887_R01C01
12112_02@0067866327,4281452774_R02C01
12112_03@0067866310,4281452774_R01C02
12112_01@0067866334,4281452774_R01C01
12113_02@0067866286,4281452640_R01C01
12113_03@0067866279,4281452640_R02C01
12113_01@0067866303,4281452774_R02C02
12114_02@0067866255,4281452640_R02C02
12114_03@0067866333,4281452651_R01C01
12114_01@0067866262,4281452640_R01C02
12115_02@0067866309,4281452651_R01C02
12115_03@0067866304,4281452651_R02C02
12115_01@0067866328,4281452651_R02C01
12116_02@0067866280,4281452354_R02C01
12116_03@0067866261,4281452354_R01C02
12116_01@0067866285,4281452354_R01C01
12117_02@0067866332,4281452836_R01C01
12117_03@0067866329,4281452836_R02C01
12117_01@0067866256,4281452354_R02C02
12118_02@0067866305,4506252032_R02C02
12118_03@0067866284,4281452596_R01C01
12118_01@0067866308,4281452836_R01C02
12119_02@0067866257,4281452596_R02C02
12119_03@0067866331,4281452760_R01C01
12119_01@0067866281,4281452596_R02C01
12122_02@0067867158,4281452196_R01C01
12122_03@0067867135,4281452196_R02C01
12122_01@0067867159,4281452219_R02C02
12124_02@0067867181,4281452149_R01C02
12124_03@0067867160,4306955427_R01C02
12124_01@0067867184,4281452149_R02C01
12125_02@0067867133,4281452374_R01C02
12125_03@0067867112,4281452374_R02C02
12125_01@0067867136,4281452374_R02C01
12127_02@0067867156,4281452476_R01C01
12127_03@0067867137,4281452476_R02C01
12127_01@0067867161,4281452477_R02C02
12128_02@0067867113,4281452476_R02C02
12128_03@0067867203,4281452220_R01C01
12128_01@0067867132,4281452476_R01C02
12129_02@0067867179,4281452220_R01C02
12129_03@0067867162,4281452220_R02C02
12129_01@0067867186,4281452220_R02C01
12131_02@0067867114,4281452195_R02C02
12131_03@0067867202,4281452286_R01C01
12131_01@0067867131,4281452195_R01C02
12132_02@0067867178,4281452286_R01C02
12132_03@0067867163,4281452286_R02C02
12132_01@0067867187,4281452286_R02C01
12133_02@0067867130,4281452151_R01C02
12133_03@0067867115,4281452151_R02C02
12133_01@0067867154,4281452151_R01C01
12134_02@0067867188,4281452375_R02C01
12134_03@0067867177,4281452375_R01C02
12134_01@0067867201,4281452375_R01C01
12135_02@0067867153,4281452285_R01C01
12135_03@0067867140,4281452285_R02C01
12135_01@0067867164,4281452375_R02C02
12136_02@0067867116,4281452285_R02C02
12136_03@0067867200,4281452443_R01C01
12136_01@0067867129,4281452285_R01C02
12137_02@0067867176,4281452443_R01C02
12137_03@0067867165,4281452443_R02C02
12137_01@0067867189,4281452443_R02C01
12138_02@0067867141,4281452217_R02C01
12138_03@0067867128,4306955169_R01C01
12138_01@0067867152,4306955427_R02C02
12139_02@0067867199,4281452478_R01C01
12139_03@0067867190,4306955169_R02C01
12139_01@0067867117,4281452217_R02C02
12140_02@0067867166,4281452478_R02C02
12140_03@0067867151,4281452284_R01C01
12140_01@0067867175,4281452478_R01C02
12141_02@0067867118,4281452284_R02C02
12141_03@0067867198,4281840029_R01C01
12141_01@0067867142,4281452284_R02C01
12143_02@0067867143,4281840036_R02C01
12143_03@0067867126,4281840036_R01C02
12143_01@0067867150,4281840036_R01C01
12144_02@0067867197,4281840039_R01C01
12144_03@0067867192,4281840039_R02C01
12144_01@0067867119,4281840036_R02C02
12145_02@0067867168,4306955169_R01C02
12145_03@0067867149,4281840035_R01C01
12145_01@0067866468,4281840039_R01C02
12146_02@0067867125,4281840035_R01C02
12146_03@0067867120,4281840035_R02C02
12146_01@0067867144,4281840035_R02C01
12147_02@0067867193,4281840028_R02C01
12147_03@0067867172,4281840028_R01C02
12147_01@0067867196,4281840028_R01C01
12148_02@0067867148,4281840031_R01C01
12148_03@0067867145,4281840031_R02C01
12148_01@0067867169,4281840028_R02C02
12149_02@0067867195,4281840074_R01C01
12149_03@0067867194,4281840074_R02C01
12149_01@0067867124,4281840031_R01C02
12150_02@0067867170,4306955169_R02C02
12150_03@0067867147,4281840034_R01C01
12150_01@0067867171,4281840074_R01C02
12151_02@0067866991,4281840376_R02C01
12151_03@0067866990,4281840376_R01C02
12151_01@0067866460,4281840376_R01C01
12152_02@0067866966,4281452726_R01C01
12152_03@0067866943,4281452726_R02C01
12152_01@0067866444,4281840376_R02C02
12153_02@0067866919,4281452726_R02C02
12153_03@0067867013,4281840364_R01C01
12153_01@0067866942,4281452726_R01C02
12155_02@0067866941,4281840374_R01C02
12155_03@0067866461,4281840374_R02C02
12155_01@0067866944,4281840374_R02C01
12156_02@0067866993,4281840085_R02C01
12156_03@0067866988,4281840085_R01C02
12156_01@0067867012,4281840085_R01C01
12157_02@0067866964,4281840086_R01C01
12157_03@0067866945,4281840086_R02C01
12157_01@0067866969,4281840085_R02C02
12158_02@0067866921,4281840086_R02C02
12158_03@0067867011,4281840375_R01C01
12158_01@0067866940,4281840086_R01C02
12159_02@0067866987,4281840375_R01C02
12159_03@0067866970,4281840375_R02C02
12159_01@0067866994,4281840375_R02C01
12160_02@0067866946,4281452662_R02C01
12160_03@0067866939,4281452662_R01C02
12160_01@0067866963,4281452662_R01C01
12161_02@0067867010,4281840087_R01C01
12161_03@0067866995,4281840087_R02C01
12161_01@0067866922,4281452662_R02C02
12162_02@0067866962,4281840363_R01C01
12162_03@0067866947,4281840363_R02C01
12162_01@0067866986,4281840087_R01C02
12163_02@0067866923,4281840363_R02C02
12163_03@0067867009,4281452592_R01C01
12163_01@0067866938,4281840363_R01C02
12164_02@0067866985,4281452592_R01C02
12164_03@0067866972,4281452592_R02C02
12164_01@0067866996,4281452592_R02C01
12165_02@0067866948,4281452727_R02C01
12165_03@0067866937,4281452727_R01C02
12165_01@0067866961,4281452727_R01C01
12166_02@0067867008,4281452621_R01C01
12166_03@0067866997,4281452621_R02C01
12166_01@0067866924,4281452727_R02C02
12167_02@0067866973,4281452621_R02C02
12167_03@0067866960,4281452368_R01C01
12167_01@0067866984,4281452621_R01C02
12168_02@0067866936,4281452368_R01C02
12168_03@0067866925,4281452368_R02C02
12168_01@0067866949,4281452368_R02C01
12170_02@0067866950,4281452021_R02C01
12170_03@0067866935,4281452021_R01C02
12170_01@0067866974,4306955212_R01C02
12171_02@0067867006,4281452392_R01C01
12171_03@0067866999,4281452392_R02C01
12171_01@0067866926,4281452021_R02C02
12173_02@0067866934,4281452623_R01C02
12173_03@0067866927,4281452623_R02C02
12173_01@0067866951,4281452623_R02C01
12174_02@0067867000,4281452394_R02C01
