Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
133101.HS02053540	78	29.727	27.1932	2.5338			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.34	2	0.51	0.44	4	4	29.7337	26.8597	2.874	0.27	0.36	0.78	1.98	2.97	0.99	 
133101.HS02053540	90	29.5963	26.8042	2.7921			 																			
133101.HS02053540	174	29.8545	26.7348	3.1197			 																			
133101.HS02053540	186	29.7568	26.7066	3.0502			 																			
133102.HS02053540	79	29.18	27.0268	2.1532			 	Taqman Copy Number Assay	Taqman Copy Number Reference		4.09	4	< 0.50	0.03	4	4	28.7229	26.6539	2.0689	0.14	-0.45	1.36	3.74	4.63	0.89	 
133102.HS02053540	91	28.5617	26.5279	2.0339			 																			
133102.HS02053540	175	28.7364	26.5378	2.1986			 																			
133102.HS02053540	187	28.4133	26.5233	1.89			 																			
134101.HS02053540	80	29.1483	26.7953	2.353			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3	3	0.55	0.03	4	4	29.0177	26.5005	2.5172	0.25	0	1	2.38	3.46	1.08	 
134101.HS02053540	92	28.8344	26.5234	2.311			 																			
134101.HS02053540	176	29.2581	26.4058	2.8524			 																			
134101.HS02053540	188	28.8298	26.2776	2.5522			 																			
140812.HS02053540	81	29.7488	27.2852	2.4636			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.02	3	0.56	0.03	4	4	29.5728	27.0653	2.5074	0.14	-0.01	1.01	2.61	3.25	0.64	 
140812.HS02053540	93	29.473	27.0269	2.4462			 																			
140812.HS02053540	177	29.4412	27.0382	2.4029			 																			
140812.HS02053540	189	29.628	26.911	2.717			 																			
479_1.HS02053540	54	32.7903	27.2966	5.4936		DCTET	 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.44	0			4	4	32.535	27.2412	5.2938	0.22	2.78	0.15	0.38	0.51	0.13	 
479_1.HS02053540	66	32.0194	26.8881	5.1313		DCTET	 																			
479_1.HS02053540	150	32.8656	27.3912	5.4744		DCTET	 																			
479_1.HS02053540	162	32.4648	27.389	5.0759		DCTET	 																			
479_2.HS02053540	55	32.0448	28.3583	3.6865			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.49	1	< 0.50	2.04	4	4	31.474	27.9483	3.5258	0.11	1.01	0.5	1.33	1.6	0.27	 
479_2.HS02053540	67	31.2402	27.8204	3.4198			 																			
479_2.HS02053540	151	31.4683	27.9674	3.501			 																			
479_2.HS02053540	163	31.1429	27.647	3.4959			 																			
479_3.HS02053540	56	31.8307	27.6067	4.224	x	DCTET	 	Taqman Copy Number Assay	Taqman Copy Number Reference						4	0										 
479_3.HS02053540	68	32.4325	28.0598	4.3727	x	DCTET	 																			
479_3.HS02053540	152	31.1767	27.2302	3.9464	x	UNDET	 																			
479_3.HS02053540	164	31.0254	27.1811	3.8443	x	UNDET	 																			
4999_1.HS02053540	57	32.5899	27.5122	5.0778		DCTET	 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.62	0			4	4	31.9397	27.1434	4.7963	0.47	2.28	0.21	0.47	0.96	0.5	 
4999_1.HS02053540	69	31.2698	27.1121	4.1577		DCTET	 																			
4999_1.HS02053540	153	32.1501	26.9488	5.2013		DCTET	 																			
4999_1.HS02053540	165	31.7489	27.0005	4.7484		DCTET	 																			
4999_2.HS02053540	58	31.3691	28.1577	3.2114			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.62	2	0.87	0.54	4	4	31.1476	27.7425	3.4051	0.41	0.89	0.54	1.27	2.28	1	 
4999_2.HS02053540	70	31.2667	27.5148	3.752			 																			
4999_2.HS02053540	154	31.33	27.5876	3.7424			 																			
4999_2.HS02053540	166	30.6247	27.7099	2.9147			 																			
4999_3.HS02053540	59	31.2675	27.8684	3.3991			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.82	2	0.94	0.13	4	4	30.6822	27.4451	3.237	0.15	0.72	0.61	1.63	2.01	0.38	 
4999_3.HS02053540	71	30.5032	27.4055	3.0977			 																			
4999_3.HS02053540	155	30.6709	27.3418	3.329			 																			
4999_3.HS02053540	167	30.2872	27.1648	3.1223			 																			
A6208 VHK C-s.HS02053540	75	30.2175	29.9755	0.242			 	Taqman Copy Number Assay	Taqman Copy Number Reference		14.91	15	< 0.50	0.08	4	4	30.4844	30.2801	0.2042	0.09	-2.31	4.97	14.19	16.35	2.16	 
A6208 VHK C-s.HS02053540	87	30.5497	30.2741	0.2755			 																			
A6208 VHK C-s.HS02053540	171	30.1715	29.9428	0.2287			 																			
A6208 VHK C-s.HS02053540	183	30.9988	30.9282	0.0707			 																			
A6208 VHK F-s.HS02053540	77	29.8316	28.5689	1.2626			 	Taqman Copy Number Assay	Taqman Copy Number Reference		7.42	7	0.6	0.04	4	4	29.634	28.4232	1.2108	0.22	-1.31	2.47	6.08	8.55	2.48	 
A6208 VHK F-s.HS02053540	89	29.4545	28.4486	1.0059			 																			
A6208 VHK F-s.HS02053540	173	29.4577	28.382	1.0757			 																			
A6208 VHK F-s.HS02053540	185	29.7922	28.2931	1.4991			 																			
A6208 VHK M-B.HS02053540	76	32.7798	27.7643	5.0155		DCTET	 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.48	0			4	4	32.5426	27.3706	5.172	0.31	2.65	0.16	0.36	0.59	0.23	 
A6208 VHK M-B.HS02053540	88	32.2191	27.3626	4.8565		DCTET	 																			
A6208 VHK M-B.HS02053540	172	32.5588	27.3034	5.2554		DCTET	 																			
A6208 VHK M-B.HS02053540	184	32.6128	27.052	5.5607		DCTET	 																			
CSc390_1.HS02053540	60	33.832	29.6881	4.1439	x	DCTET	 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.42	1	< 0.50	1.73	4	3	32.9152	29.3225	3.5926	0.38	1.08	0.47	1.08	1.82	0.74	 
CSc390_1.HS02053540	72	33.2506	29.6939	3.5567			 																			
CSc390_1.HS02053540	156	33.0958	29.1097	3.9861			 																			
CSc390_1.HS02053540	168	32.3991	29.164	3.2351			 																			
CSc390_2.HS02053540	73	30.1761	27.1857	2.9904			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.93	2	0.91	0.03	4	4	30.0754	26.9249	3.1505	0.16	0.63	0.64	1.72	2.16	0.44	 
CSc390_2.HS02053540	85	29.881	26.8408	3.0402			 																			
