Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
CSc390_2.HS04504215	73	26.3774	26.7508	-0.3733			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3	3	0.98	0.09	4	4	26.1398	26.7048	-0.565	0.16	0	1	2.63	3.44	0.81	 
CSc390_2.HS04504215	85	25.9414	26.7025	-0.7611			 																			
CSc390_2.HS04504215	169	26.1983	26.7945	-0.5962			 																			
CSc390_2.HS04504215	181	26.042	26.5713	-0.5293			 																			
CSc390_3.HS04504215	74	26.4954	27.0695	-0.5741			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.24	3	0.96	0.62	4	4	26.2339	26.9094	-0.6755	0.12	-0.11	1.08	3.02	3.67	0.64	 
CSc390_3.HS04504215	86	25.9552	26.8085	-0.8533			 																			
CSc390_3.HS04504215	170	26.1573	26.8026	-0.6453			 																			
CSc390_3.HS04504215	182	26.3276	26.9569	-0.6293			 																			
NTC.HS04504215	82	35.6141	undetermined	undetermined	x	NTC	 	Taqman Copy Number Assay	Taqman Copy Number Reference						4	0										 
NTC.HS04504215	94	undetermined	undetermined	undetermined	x	NTC	 																			
NTC.HS04504215	178	35.7466	undetermined	undetermined	x	NTC	 																			
NTC.HS04504215	190	undetermined	undetermined	undetermined	x	NTC	 																			
pu262-01.HS04504215	3	28.3779	27.9807	0.3972			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.61	2	0.98	0.88	4	4	28.0245	27.691	0.3336	0.11	0.9	0.54	1.51	1.79	0.28	 
pu262-01.HS04504215	15	27.9011	27.7186	0.1825			 																			
pu262-01.HS04504215	99	27.9127	27.5823	0.3304			 																			
pu262-01.HS04504215	111	27.9064	27.4823	0.4241			 																			
pu262-02.HS04504215	2	27.2578	27.7595	-0.5017			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.96	3	0.98	0.08	4	3	26.9559	27.5006	-0.5447	0.04	0.02	0.99	2.87	3.01	0.14	 
pu262-02.HS04504215	14	26.8622	27.4257	-0.5636			 																			
pu262-02.HS04504215	98	undetermined	undetermined	undetermined	x	NOVIC	 																			
pu262-02.HS04504215	110	26.7478	27.3166	-0.5687			 																			
pu262-03.HS04504215	1	25.9602	26.5983	-0.6381			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.1	3	0.98	0.34	4	4	26.0699	26.6796	-0.6097	0.03	-0.05	1.03	3.04	3.16	0.11	 
pu262-03.HS04504215	13	25.9601	26.5447	-0.5846			 																			
pu262-03.HS04504215	97	26.3627	26.9513	-0.5886			 																			
pu262-03.HS04504215	109	25.9964	26.6241	-0.6277			 																			
pu264-01.HS04504215	51	26.7848	27.2011	-0.4163			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.75	3	0.94	0.07	4	4	26.5864	27.0272	-0.4408	0.08	0.12	0.92	2.58	2.95	0.37	 
pu264-01.HS04504215	63	26.5683	26.9146	-0.3463			 																			
pu264-01.HS04504215	147	26.3149	26.8567	-0.5418			 																			
pu264-01.HS04504215	159	26.6774	27.1363	-0.4589			 																			
pu264-02.HS04504215	50	26.9358	27.3368	-0.401			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.69	3	0.91	0.26	4	4	26.7582	27.1638	-0.4057	0.07	0.16	0.9	2.52	2.79	0.27	 
pu264-02.HS04504215	62	26.7443	27.2043	-0.46			 																			
pu264-02.HS04504215	146	26.6301	27.0782	-0.448			 																			
pu264-02.HS04504215	158	26.7224	27.036	-0.3136			 																			
pu264-03.HS04504215	49	26.2202	26.6696	-0.4494			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.75	3	0.95	0.09	4	4	26.3577	26.7988	-0.4412	0.01	0.12	0.92	2.73	2.77	0.04	 
