Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
133101.HS02102421	78	25.5253	25.9088	-0.3835			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.08	2	> 0.99	0.45	4	4	25.7408	26.046	-0.3052	0.09	-0.06	1.04	1.91	2.2	0.29	 
133101.HS02102421	90	26.0645	26.3917	-0.3272			 																			
133101.HS02102421	174	25.6079	25.936	-0.3281			 																			
133101.HS02102421	186	25.7655	25.9474	-0.1819			 																			
133102.HS02102421	79	25.8972	25.9397	-0.0425			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.94	2	> 0.99	0.03	4	4	25.5795	25.7832	-0.2038	0.14	0.04	0.97	1.74	2.21	0.48	 
133102.HS02102421	91	25.4427	25.8348	-0.392			 																			
133102.HS02102421	175	25.5107	25.6793	-0.1686			 																			
133102.HS02102421	187	25.4671	25.6791	-0.2119			 																			
134101.HS02102421	80	25.29	25.5869	-0.2969			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.98	2	> 0.99	0.03	4	4	25.3536	25.5867	-0.2331	0.09	0.01	0.99	1.8	2.07	0.27	 
134101.HS02102421	92	25.0346	25.2991	-0.2645			 																			
134101.HS02102421	176	25.5291	25.6262	-0.0971			 																			
134101.HS02102421	188	25.5605	25.8344	-0.2739			 																			
140812.HS02102421	81	25.934	26.303	-0.369			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.97	2	> 0.99	0.04	4	4	26.0348	26.2585	-0.2237	0.15	0.02	0.98	1.71	2.18	0.47	 
140812.HS02102421	93	26.0042	26.2317	-0.2274			 																			
140812.HS02102421	177	26.1255	26.1479	-0.0224			 																			
140812.HS02102421	189	26.0754	26.3514	-0.276			 																			
479_1.HS02102421	54	26.751	26.0265	0.7245			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.96	1	> 0.99	0.04	4	4	26.6547	25.8407	0.814	0.17	1.06	0.48	0.8	1.02	0.22	 
479_1.HS02102421	66	26.7172	25.9863	0.7309			 																			
479_1.HS02102421	150	26.648	25.578	1.07			 																			
479_1.HS02102421	162	26.5027	25.7721	0.7306			 																			
479_2.HS02102421	55	26.2667	26.7422	-0.4755			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.15	2	> 0.99	0.54	4	4	26.2368	26.5845	-0.3477	0.11	-0.1	1.07	1.93	2.34	0.41	 
479_2.HS02102421	67	26.3315	26.5286	-0.1971			 																			
479_2.HS02102421	151	26.1829	26.5405	-0.3577			 																			
479_2.HS02102421	163	26.1662	26.5269	-0.3607			 																			
479_3.HS02102421	56	26.3365	26.3256	0.0109			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.67	2	> 0.99	1.51	4	4	26.0563	26.0429	0.0134	0.01	0.26	0.84	1.65	1.68	0.03	 
479_3.HS02102421	68	25.8625	25.8578	0.0047			 																			
479_3.HS02102421	152	25.9748	25.9438	0.031			 																			
479_3.HS02102421	164	26.0512	26.0442	0.007			 																			
4999_1.HS02102421	57	26.9962	26.322	0.6742			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.93	1	> 0.99	0.11	4	4	26.7907	25.9299	0.8608	0.13	1.11	0.46	0.86	1.06	0.2	 
4999_1.HS02102421	69	26.8336	25.925	0.9086			 																			
4999_1.HS02102421	153	26.7633	25.8805	0.8828			 																			
4999_1.HS02102421	165	26.5697	25.5921	0.9776			 																			
4999_2.HS02102421	58	26.9918	26.8189	0.1729			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.63	2	> 0.99	1.72	4	4	26.6175	26.568	0.0495	0.1	0.3	0.81	1.5	1.76	0.26	 
4999_2.HS02102421	70	26.3861	26.444	-0.0579			 																			
4999_2.HS02102421	154	26.4675	26.411	0.0565			 																			
4999_2.HS02102421	166	26.6245	26.598	0.0265			 																			
4999_3.HS02102421	59	26.2354	26.2083	0.0271			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.61	2	> 0.99	1.7	4	4	26.1935	26.1277	0.0658	0.07	0.31	0.81	1.54	1.7	0.15	 
4999_3.HS02102421	71	26.0985	25.9696	0.1289			 																			
4999_3.HS02102421	155	26.1699	26.1791	-0.0092			 																			
4999_3.HS02102421	167	26.2702	26.1539	0.1162			 																			
A6208 VHK C-s.HS02102421	75	29.0381	29.2782	-0.2401			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.81	2	> 0.99	0.44	4	4	29.0437	29.1427	-0.0989	0.11	0.15	0.9	1.68	1.99	0.31	 
A6208 VHK C-s.HS02102421	87	28.9889	28.9827	0.0062			 																			
A6208 VHK C-s.HS02102421	171	29.2763	29.2964	-0.0201			 																			
A6208 VHK C-s.HS02102421	183	28.8716	29.0133	-0.1417			 																			
A6208 VHK F-s.HS02102421	77	27.3237	27.5577	-0.234			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2	2	> 0.99	0.04	4	4	27.2432	27.4925	-0.2493	0.04	0	1	1.98	2.08	0.1	 
A6208 VHK F-s.HS02102421	89	27.0941	27.3247	-0.2306			 																			
A6208 VHK F-s.HS02102421	173	27.2165	27.5188	-0.3023			 																			
A6208 VHK F-s.HS02102421	185	27.3384	27.5689	-0.2305			 																			
A6208 VHK M-B.HS02102421	76	26.2055	26.3721	-0.1666			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.93	2	> 0.99	0.03	4	4	25.7925	25.9902	-0.1976	0.06	0.05	0.97	1.88	2.05	0.17	 
A6208 VHK M-B.HS02102421	88	25.5757	25.8566	-0.2809			 																			
A6208 VHK M-B.HS02102421	172	25.4273	25.583	-0.1557			 																			
A6208 VHK M-B.HS02102421	184	25.9617	26.1489	-0.1872			 																			
CSc390_1.HS02102421	60	29.5244	28.2295	1.2949			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0.79	1	> 0.99	1.66	4	4	29.6158	28.526	1.0898	0.16	1.34	0.4	0.69	0.9	0.21	 
CSc390_1.HS02102421	72	29.6236	28.7132	0.9105			 																			
CSc390_1.HS02102421	156	29.6622	28.6421	1.0202			 																			
CSc390_1.HS02102421	168	29.6529	28.5192	1.1337			 																			
CSc390_2.HS02102421	73	26.2512	26.2868	-0.0356			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.8	2	> 0.99	0.53	4	4	25.9468	26.0419	-0.0951	0.09	0.15	0.9	1.68	1.93	0.25	 
CSc390_2.HS02102421	85	25.7908	25.9848	-0.194			 																			
CSc390_2.HS02102421	169	25.8014	25.956	-0.1546			 																			
CSc390_2.HS02102421	181	25.9437	25.9401	0.0037			 																			
CSc390_3.HS02102421	74	26.5297	26.6098	-0.0801			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.71	2	> 0.99	1	4	4	26.2347	26.258	-0.0232	0.12	0.22	0.86	1.51	1.8	0.29	 
CSc390_3.HS02102421	86	26.2866	26.1255	0.1611			 																			
CSc390_3.HS02102421	170	25.9704	26.0495	-0.0791			 																			
CSc390_3.HS02102421	182	26.1523	26.2471	-0.0949			 																			
NTC.HS02102421	82	36.9892	undetermined	undetermined	x	NTC	 	Taqman Copy Number Assay	Taqman Copy Number Reference						4	0										 
NTC.HS02102421	94	undetermined	undetermined	undetermined	x	NTC	 																			
NTC.HS02102421	178	undetermined	undetermined	undetermined	x	NTC	 																			
NTC.HS02102421	190	undetermined	36.9648	undetermined	x	NTC	 																			
pu262-01.HS02102421	3	27.7487	26.8137	0.935			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.06	1	> 0.99	0.32	4	4	27.4416	26.7688	0.6728	0.21	0.92	0.53	0.88	1.23	0.34	 
pu262-01.HS02102421	15	27.2594	26.8	0.4594			 																			
pu262-01.HS02102421	99	27.3481	26.8056	0.5425			 																			
pu262-01.HS02102421	111	27.4103	26.6561	0.7542			 																			
pu262-02.HS02102421	2	27.0598	27.1531	-0.0933			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.95	2	> 0.99	0.03	4	4	26.7406	26.9506	-0.2101	0.1	0.04	0.98	1.8	2.07	0.28	 
pu262-02.HS02102421	14	26.6292	26.9187	-0.2896			 																			
pu262-02.HS02102421	98	26.5843	26.7428	-0.1585			 																			
pu262-02.HS02102421	110	26.6891	26.988	-0.2988			 																			
pu262-03.HS02102421	1	25.8571	25.8491	0.008			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.77	2	> 0.99	0.8	4	4	25.8261	25.8958	-0.0697	0.07	0.18	0.88	1.68	1.89	0.21	 
pu262-03.HS02102421	13	25.7002	25.8659	-0.1657			 																			
pu262-03.HS02102421	97	25.762	25.8234	-0.0613			 																			
pu262-03.HS02102421	109	25.985	26.0448	-0.0598			 																			
pu264-01.HS02102421	51	25.9301	25.9341	-0.0041			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.8	2	> 0.99	0.62	4	4	26.0933	26.1835	-0.0902	0.09	0.16	0.9	1.69	1.9	0.21	 
pu264-01.HS02102421	63	26.175	26.3495	-0.1745			 																			
pu264-01.HS02102421	147	26.0718	26.1009	-0.0291			 																			
pu264-01.HS02102421	159	26.1963	26.3496	-0.1532			 																			
pu264-02.HS02102421	50	26.7355	26.9737	-0.2382			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.95	2	> 0.99	0.04	4	4	26.3682	26.5799	-0.2117	0.09	0.03	0.98	1.81	2.09	0.28	 
pu264-02.HS02102421	62	26.2706	26.4635	-0.1929			 																			
pu264-02.HS02102421	146	26.1662	26.2712	-0.105			 																			
